# timestamps [seconds],pts
91185.326157,8678085
91185.360886,8680361
91185.396683,8682707
91185.427430,8684721
91185.464204,8687131
91185.495072,8689154
91185.539002,8692033
91185.583893,8694975
91185.610352,8696709
91185.650330,8699329
91185.675629,8700987
91185.717286,8703717
91185.741639,8705313
91185.783936,8708085
91185.809449,8709757
91185.851838,8712535
91185.875199,8714066
91185.919221,8716951
91185.942612,8718484
91185.985749,8721311
91186.010422,8722928
91186.046540,8725295
91186.067994,8726701
91186.101517,8728898
91186.143311,8731637
91186.160386,8732756
91186.199403,8735313
91186.231599,8737423
91186.271500,8740038
91186.305741,8742282
91186.328492,8743773
91186.366624,8746272
91186.406007,8748853
91186.424790,8750083
91186.457627,8752235
91186.499970,8755010
91186.543351,8757853
91186.567475,8759434
91186.611100,8762293
91186.638367,8764080
91186.677781,8766663
91186.702302,8768270
91186.745179,8771080
91186.789933,8774013
91186.812958,8775522
91186.840836,8777349
91186.877762,8779769
91186.903825,8781477
91186.946351,8784264
91186.969544,8785784
91187.004609,8788082
91187.030732,8789794
91187.061951,8791840
91187.100007,8794334
91187.136628,8796734
91187.169480,8798887
91187.207581,8801384
91187.225831,8802580
91187.266282,8805231
91187.297608,8807284
91187.335816,8809788
91187.370957,8812091
91187.416184,8815054
91187.439591,8816588
91187.482575,8819405
91187.505418,8820902
91187.549256,8823775
91187.572053,8825269
91187.616456,8828179
91187.639176,8829668
91187.683106,8832547
91187.706666,8834091
91187.750016,8836932
91187.774018,8838505
91187.817353,8841345
91187.841080,8842900
91187.884019,8845714
91187.907242,8847236
91187.946625,8849817
91187.964966,8851019
91188.008469,8853870
91188.026856,8855075
91188.075150,8858240
91188.093110,8859417
91188.126069,8861577
91188.164475,8864094
91188.197312,8866246
91188.240555,8869080
91188.259720,8870336
91188.304795,8873290
91188.343384,8875819
91188.365754,8877285
91188.398347,8879421
91188.442856,8882337
91188.466477,8883885
91188.510148,8886747
91188.554887,8889679
91188.578797,8891246
91188.621903,8894071
91188.645188,8895597
91188.688416,8898430
91188.712174,8899987
91188.755021,8902795
91188.779771,8904417
91188.822312,8907205
91188.846635,8908799
91188.869843,8910320
91188.901063,8912366
91188.938706,8914833
91188.959626,8916204
91189.003129,8919055
91189.039612,8921446
91189.073777,8923685
91189.096848,8925197
91189.136719,8927810
91189.175965,8930382
91189.195100,8931636
91189.236832,8934371
91189.270005,8936545
91189.310364,8939190
91189.328110,8940353
91189.370240,8943114
91189.415803,8946099
91189.442536,8947851
91189.480530,8950341
91189.504502,8951912
91189.549042,8954831
91189.573792,8956453
91189.617127,8959293
91189.642930,8960984
91189.684312,8963696
91189.710725,8965427
91189.751160,8968077
91189.776429,8969733
91189.817170,8972403
91189.845963,8974290
91189.884354,8976806
91189.905564,8978196
91189.939301,8980407
91189.973588,8982654
91189.994385,8984017
91190.030976,8986415
91190.070054,8988976
91190.103501,8991168
